Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,States,CylindersinEngine,BodyType,Doors,Seats,Price
Mazda,2018.0,2018 Mazda 3 SP25,Hatchback,2018 Mazda 3 SP25,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,6.1 L / 100 km,72288,White / Black,"Traralgon, VIC",VIC,4 cyl,Hatchback, 5 Doors, 5 Seats,26999
Mazda,2015.0,2015 Mazda 2 Genki,Hatchback,2015 Mazda 2 Genki,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,4.9 L / 100 km,94423,Black / Beige,"Gateshead, NSW",NSW,4 cyl,Hatchback, 5 Doors, 5 Seats,19990
Nissan,2014.0,2014 Nissan Pulsar ST,Hatchback,2014 Nissan Pulsar ST,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,6.7 L / 100 km,153857,Grey / Stnd,"Southport, QLD",QLD,4 cyl,Hatchback, 5 Doors, 5 Seats,12990
Kia,2011.0,2011 Kia RIO S,Hatchback,2011 Kia RIO S,USED,Manual,"4 cyl, 1.4 L",Front,Unleaded,5.7 L / 100 km,164458,White / -,"Epsom, VIC",VIC,4 cyl,Hatchback, 5 Doors, 5 Seats,9888
Jeep,2003.0,2003 Jeep Wrangler Sport (4X4),SUV,2003 Jeep Wrangler Sport (4X4),USED,Manual,"6 cyl, 4 L",4WD,Unleaded,14 L / 100 km,180604,Yellow / -,"Cardiff, NSW",NSW,6 cyl,SUV, 2 Doors, 4 Seats,13990
Holden,2018.0,2018 Holden Equinox LTZ-V (awd) (5YR),SUV,2018 Holden Equinox LTZ-V (awd) (5YR),USED,Automatic,"4 cyl, 2 L",AWD,Premium,8.4 L / 100 km,94017,Grey / Black,"Seymour, VIC",VIC,4 cyl,SUV, 4 Doors, 5 Seats,29999
Hyundai,2023.0,2023 Hyundai Kona N,"National Capital Hyundai, National Capital Mitsubishi",2023 Hyundai Kona N,DEMO,Automatic,"4 cyl, 2 L",Front,Premium,9 L / 100 km,789,White / Black,"Belconnen, ACT",ACT,4 cyl,SUV, 4 Doors, 5 Seats,51490
Renault,2015.0,2015 Renault Kangoo Maxi,Commercial,2015 Renault Kangoo Maxi,USED,Manual,"4 cyl, 1.5 L",Front,Diesel,5.2 L / 100 km,174341,White / Grey,"Hamilton North, NSW",NSW,4 cyl,Van, 4 Doors, 2 Seats,12990
Subaru,2009.0,2009 Subaru Liberty 2.5I GT Premium,Sedan,2009 Subaru Liberty 2.5I GT Premium,USED,Manual,"4 cyl, 2.5 L",AWD,Premium,9.8 L / 100 km,249096,Black / Black,"Thomastown, VIC",VIC,4 cyl,Sedan, 4 Doors, 5 Seats,14990
Mercedes-Benz,2015.0,2015 Mercedes-Benz Sprinter 313CDI Low Roof MWB 7G-Tronic,SJ Wholesale Motors,2015 Mercedes-Benz Sprinter 313CDI Low Roof MWB 7G-Tronic,USED,Automatic,-,Rear,Diesel,-,150098,White / Grey,"Hamilton North, NSW",NSW,-,Van,,,32990
